"category_name","supplier_region","total_stock","total_orders","total_reorders"
Beverages,America,203,0,40
Beverages,Asia-Pacific,32,20,55
Beverages,Europe,324,40,100
Condiments,America,372,100,70
Condiments,Asia-Pacific,90,0,25
Condiments,Europe,45,70,40
Confections,America,17,0,0
Confections,Asia-Pacific,29,0,10
Confections,Europe,340,180,155
Dairy Products,Europe,393,140,110
Grains/Cereals,Asia-Pacific,64,0,25
Grains/Cereals,Europe,244,90,130
Meat/Poultry,America,136,0,30
Meat/Poultry,Asia-Pacific,29,0,0
Meat/Poultry,Europe,0,0,0
Produce,America,15,0,10
Produce,Asia-Pacific,59,20,15
Produce,Europe,26,0,0
Seafood,America,208,0,40
Seafood,Asia-Pacific,97,0,5
Seafood,Europe,396,120,100
